# roster.txt
# ─────────────────────────────────────────────────────────────────────────────
# Format: PlayerName | Role | CharName:Main/Alt, CharName:Main/Alt, ...
# Roles: Tank, Healer, DPS, Inactive
# Add new players or alts here — no code changes needed.
# ─────────────────────────────────────────────────────────────────────────────

Nope        | Tank   | Ñøpe:Main, Nøpæ:Alt, Nopebrew:Alt
Phyxius     | Tank   | Phyxius:Main, Phyxy:Alt, Phyxdemon:Alt
Toshiko     | Healer | Toshiko:Main, Holynooblal:Alt, Evokenooblal:Alt
Minxy       | Healer | Minxymender:Main, Minxycat:Alt, Drunkminxy:Alt
Hipe        | Healer | Wype:Main, Nype:Alt, Cype:Alt
Zush        | Healer | Züsh:Main, Zush:Alt, Ryuhko:Alt
Jimy        | DPS    | Madhmag:Main, Notyunyun:Alt, Käz:Alt
Ice         | DPS    | Icecöld:Main, Icecoldleap:Alt, Icecold:Alt, Chocoice:Alt
Zodiacos    | DPS    | Zodiacos:Main
Kutcher     | DPS    | Kutcherdh:Main, Kutcherdhtwo:Alt, Kutchersplit:Alt
Hypno       | DPS    | Hypno:Main, Hypnodh:Alt, Hypnø:Alt
Brunaine    | DPS    | Brunaineevo:Main, Brunainehunt:Alt, Brunainevoke:Alt
Beldryk     | DPS    | beldrýk:Main, Beldrýk:Main, beldryc:Alt, Beldrick:Alt
Potrenu     | DPS    | Potrenu:Main, Potrenuu:Alt, Potrenup:Alt
Shamishan   | DPS    | Shamishan:Main, Samdracson:Alt
Madonis     | DPS    | Madonismagus:Main, Madonis:Alt, Madonisvoker:Alt
Upyeah      | DPS    | Upyëah:Main, upyeäh:Alt, upyeah:Alt
Uncleyoinky | DPS    | uncleyoinky:Main, allblues:Alt, Allblues:Alt
Nizze       | DPS    | Nizze:Main, Nizzedk:Alt
Mostbanned  | DPS    | Mostlock:Main, Mosta:Alt, Mostbanned:Alt
Malheiro    | DPS    | Malheiro:Main, Rödinhas:Alt, Malhas:Alt
Bolters     | DPS    | Devert:Main, Schmosba:Alt, Ipala:Alt
Tinet       | DPS    | Tinet:Main, Pingveryhigh:Alt, Guldanrämsay:Alt
Doomkry     | DPS    | Pumppaladin:Main, Doomkry:Alt, Lockry:Alt

# ── Inactive / Alumni ────────────────────────────────────────────────────────

Kaze        | Inactive | Kazeofscales:Main, Kazehakase:Alt, Kazeoflight:Alt
Mindhacker  | Inactive | Mindhacker:Main, Shaggyzard:Alt, Mindrage:Alt
